aggregator, node_id: 2, sample: 63.183, missed_samples: 0 , time: 557406182 #
aggregator, node_id: 3, sample: 16.305, missed_samples: 2 , time: 558732632 #
aggregator, node_id: 2, sample: 67.011, missed_samples: 0 , time: 562132711 #
aggregator, node_id: 2, sample: 31.914, missed_samples: 0 , time: 566349824 #
aggregator, node_id: 3, sample: 53.266, missed_samples: 2 , time: 566435736 #
aggregator, node_id: 2, sample: 74.201, missed_samples: 0 , time: 570599811 #
aggregator, node_id: 3, sample: 54.382, missed_samples: 2 , time: 573771679 #
aggregator, node_id: 2, sample: 56.571, missed_samples: 0 , time: 574396675 #
aggregator, node_id: 2, sample: 55.355, missed_samples: 0 , time: 577771678 #
aggregator, node_id: 2, sample: 62.342, missed_samples: 0 , time: 581998250 #
aggregator, node_id: 3, sample: 51.559, missed_samples: 2 , time: 583279504 #
aggregator, node_id: 2, sample: 66.282, missed_samples: 0 , time: 586560728 #
aggregator, node_id: 2, sample: 47.075, missed_samples: 0 , time: 589835709 #
aggregator, node_id: 3, sample: 15.789, missed_samples: 2 , time: 591085216 #
aggregator, node_id: 2, sample: 80.648, missed_samples: 0 , time: 594091986 #
aggregator, node_id: 2, sample: 30.717, missed_samples: 0 , time: 598217012 #
aggregator, node_id: 3, sample: 46.108, missed_samples: 2 , time: 598802935 #
aggregator, node_id: 2, sample: 46.682, missed_samples: 0 , time: 601935749 #
aggregator, node_id: 2, sample: 42.388, missed_samples: 0 , time: 605717001 #
aggregator, node_id: 3, sample: 45.555, missed_samples: 2 , time: 605850952 #
aggregator, node_id: 2, sample: 64.818, missed_samples: 0 , time: 610529507 #
aggregator, node_id: 2, sample: 36.997, missed_samples: 0 , time: 613545143 #
aggregator, node_id: 3, sample: 59.439, missed_samples: 2 , time: 614771669 #
aggregator, node_id: 2, sample: 39.543, missed_samples: 0 , time: 616849798 #
aggregator, node_id: 2, sample: 57.266, missed_samples: 0 , time: 620545105 #
aggregator, node_id: 3, sample: 75.482, missed_samples: 2 , time: 621677946 #
aggregator, node_id: 2, sample: 59.259, missed_samples: 0 , time: 625076360 #
aggregator, node_id: 3, sample: 29.917, missed_samples: 2 , time: 629552948 #
aggregator, node_id: 2, sample: 53.145, missed_samples: 0 , time: 629904490 #
aggregator, node_id: 2, sample: 60.422, missed_samples: 0 , time: 633576358 #
aggregator, node_id: 3, sample: 65.335, missed_samples: 2 , time: 636749281 #
aggregator, node_id: 2, sample: 42.316, missed_samples: 0 , time: 636839938 #
aggregator, node_id: 2, sample: 47.248, missed_samples: 0 , time: 640537345 #
aggregator, node_id: 3, sample: 42.271, missed_samples: 1 , time: 642763867 #
aggregator, node_id: 2, sample: 61.677, missed_samples: 0 , time: 644599811 #
aggregator, node_id: 3, sample: 43.915, missed_samples: 0 , time: 646232630 #
aggregator, node_id: 2, sample: 16.102, missed_samples: 0 , time: 649201374 #
aggregator, node_id: 3, sample: 46.774, missed_samples: 0 , time: 650185755 #
aggregator, node_id: 2, sample: 68.131, missed_samples: 0 , time: 652990425 #
aggregator, node_id: 3, sample: 49.632, missed_samples: 0 , time: 653216989 #
aggregator, node_id: 3, sample: 60.400, missed_samples: 0 , time: 657038112 #
aggregator, node_id: 2, sample: 49.572, missed_samples: 0 , time: 657998241 #
aggregator, node_id: 3, sample: 40.877, missed_samples: 0 , time: 660982609 #
aggregator, node_id: 2, sample: 11.043, missed_samples: 0 , time: 662474725 #
aggregator, node_id: 3, sample: 44.202, missed_samples: 0 , time: 665249171 #
aggregator, node_id: 2, sample: 79.154, missed_samples: 0 , time: 666748247 #
aggregator, node_id: 3, sample: 63.893, missed_samples: 0 , time: 669288206 #
aggregator, node_id: 2, sample: 56.541, missed_samples: 0 , time: 670373251 #
aggregator, node_id: 3, sample: 56.188, missed_samples: 0 , time: 672404481 #
aggregator, node_id: 2, sample: 50.713, missed_samples: 0 , time: 673935770 #
aggregator, node_id: 3, sample: 59.205, missed_samples: 0 , time: 677013879 #
aggregator, node_id: 2, sample: 56.953, missed_samples: 0 , time: 677959178 #
aggregator, node_id: 3, sample: 16.713, missed_samples: 0 , time: 680685753 #
aggregator, node_id: 2, sample: 61.763, missed_samples: 0 , time: 682795114 #
aggregator, node_id: 3, sample: 58.969, missed_samples: 0 , time: 685318569 #
aggregator, node_id: 2, sample: 67.080, missed_samples: 1 , time: 687615343 #
aggregator, node_id: 3, sample: 52.051, missed_samples: 0 , time: 689505973 #
aggregator, node_id: 2, sample: 11.641, missed_samples: 0 , time: 691021681 #
aggregator, node_id: 3, sample: 68.182, missed_samples: 0 , time: 693287305 #
aggregator, node_id: 2, sample: 30.717, missed_samples: 0 , time: 694467011 #
aggregator, node_id: 3, sample: 48.749, missed_samples: 0 , time: 697420141 #
aggregator, node_id: 2, sample: 53.827, missed_samples: 0 , time: 698045141 #
aggregator, node_id: 3, sample: 27.742, missed_samples: 0 , time: 702029529 #
aggregator, node_id: 2, sample: 27.079, missed_samples: 0 , time: 702802853 #
aggregator, node_id: 3, sample: 29.057, missed_samples: 0 , time: 706052862 #
aggregator, node_id: 2, sample: 34.503, missed_samples: 0 , time: 707357616 #
aggregator, node_id: 3, sample: 62.960, missed_samples: 0 , time: 710857635 #
aggregator, node_id: 2, sample: 41.934, missed_samples: 0 , time: 711234710 #
aggregator, node_id: 3, sample: 38.120, missed_samples: 0 , time: 714373254 #
aggregator, node_id: 2, sample: 44.653, missed_samples: 0 , time: 714615422 #
aggregator, node_id: 3, sample: 73.234, missed_samples: 0 , time: 717506083 #
aggregator, node_id: 2, sample: 66.713, missed_samples: 0 , time: 718375264 #
aggregator, node_id: 2, sample: 65.716, missed_samples: 0 , time: 721982618 #
aggregator, node_id: 3, sample: 55.989, missed_samples: 1 , time: 722099830 #
aggregator, node_id: 3, sample: 66.683, missed_samples: 0 , time: 726185739 #
aggregator, node_id: 2, sample: 25.734, missed_samples: 0 , time: 726537337 #
aggregator, node_id: 3, sample: 26.116, missed_samples: 0 , time: 730092016 #
aggregator, node_id: 2, sample: 43.815, missed_samples: 0 , time: 730273762 #
aggregator, node_id: 2, sample: 56.884, missed_samples: 0 , time: 734756068 #
aggregator, node_id: 3, sample: 70.048, missed_samples: 1 , time: 734874171 #
aggregator, node_id: 3, sample: 95.804, missed_samples: 0 , time: 739177933 #
aggregator, node_id: 2, sample: 44.875, missed_samples: 1 , time: 739646676 #
aggregator, node_id: 3, sample: 42.176, missed_samples: 0 , time: 742935754 #
aggregator, node_id: 2, sample: 65.082, missed_samples: 0 , time: 743732522 #
aggregator, node_id: 3, sample: 27.217, missed_samples: 0 , time: 747779512 #
aggregator, node_id: 2, sample: 46.766, missed_samples: 1 , time: 748381046 #
aggregator, node_id: 3, sample: 26.579, missed_samples: 0 , time: 750834177 #
aggregator, node_id: 2, sample: 43.045, missed_samples: 0 , time: 752318469 #
aggregator, node_id: 3, sample: 54.770, missed_samples: 0 , time: 754076369 #
aggregator, node_id: 2, sample: 21.243, missed_samples: 0 , time: 756552947 #
aggregator, node_id: 3, sample: 61.693, missed_samples: 0 , time: 758248259 #
aggregator, node_id: 2, sample: 69.432, missed_samples: 0 , time: 761154499 #
aggregator, node_id: 3, sample: 51.368, missed_samples: 0 , time: 763115443 #
aggregator, node_id: 2, sample: 63.595, missed_samples: 0 , time: 765787306 #
aggregator, node_id: 3, sample: 39.358, missed_samples: 0 , time: 767170121 #
aggregator, node_id: 2, sample: 37.419, missed_samples: 0 , time: 770664912 #
aggregator, node_id: 3, sample: 45.650, missed_samples: 1 , time: 771263873 #
aggregator, node_id: 2, sample: 42.953, missed_samples: 0 , time: 775373260 #
aggregator, node_id: 3, sample: 47.601, missed_samples: 0 , time: 775435749 #
aggregator, node_id: 3, sample: 93.535, missed_samples: 0 , time: 778677918 #
aggregator, node_id: 2, sample: 62.753, missed_samples: 1 , time: 780177934 #
aggregator, node_id: 3, sample: 53.448, missed_samples: 0 , time: 782904487 #
aggregator, node_id: 2, sample: 44.202, missed_samples: 0 , time: 783554792 #
aggregator, node_id: 2, sample: 47.341, missed_samples: 0 , time: 787045129 #
aggregator, node_id: 3, sample: 23.576, missed_samples: 0 , time: 787632183 #
