[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 1
[INFO: Main      ] Link-layer address: 0012.7401.0001.0101
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:7401:1:101
[INFO: Sky       ] CC2420 CCA threshold -45
aggregator, node_id: 3, sample: 61.202, missed_samples: 0, msg_ids_in_msg: [40, 42, 40], node_ids_in_msg: [7, 8, 9] , time: 164544407 #
aggregator, node_id: 2, sample: 85.500, missed_samples: 0, msg_ids_in_msg: [40, 42, 42], node_ids_in_msg: [4, 5, 6] , time: 165358984 #
aggregator, node_id: 2, sample: 69.081, missed_samples: 0, msg_ids_in_msg: [41, 43, 43], node_ids_in_msg: [4, 5, 6] , time: 168906113 #
aggregator, node_id: 3, sample: 24.226, missed_samples: 0, msg_ids_in_msg: [41, 43, 41], node_ids_in_msg: [7, 8, 9] , time: 169317841 #
aggregator, node_id: 3, sample: 68.492, missed_samples: 0, msg_ids_in_msg: [42, 44, 42], node_ids_in_msg: [7, 8, 9] , time: 172882418 #
aggregator, node_id: 2, sample: 37.289, missed_samples: 0, msg_ids_in_msg: [42, 44, 44], node_ids_in_msg: [4, 5, 6] , time: 173856882 #
aggregator, node_id: 3, sample: 46.786, missed_samples: 1, msg_ids_in_msg: [43, 45, 43], node_ids_in_msg: [7, 8, 9] , time: 177403773 #
aggregator, node_id: 2, sample: 21.653, missed_samples: 0, msg_ids_in_msg: [43, 45, 45], node_ids_in_msg: [4, 5, 6] , time: 178132836 #
aggregator, node_id: 3, sample: 68.126, missed_samples: 0, msg_ids_in_msg: [44, 47, 44], node_ids_in_msg: [7, 8, 9] , time: 181895943 #
aggregator, node_id: 2, sample: 39.118, missed_samples: 1, msg_ids_in_msg: [44, 46, 46], node_ids_in_msg: [4, 5, 6] , time: 182560035 #
aggregator, node_id: 3, sample: 31.657, missed_samples: 0, msg_ids_in_msg: [45, 48, 45], node_ids_in_msg: [7, 8, 9] , time: 186192840 #
aggregator, node_id: 2, sample: 33.317, missed_samples: 0, msg_ids_in_msg: [45, 47, 48], node_ids_in_msg: [4, 5, 6] , time: 187294401 #
aggregator, node_id: 3, sample: 55.585, missed_samples: 0, msg_ids_in_msg: [46, 49, 46], node_ids_in_msg: [7, 8, 9] , time: 189731910 #
aggregator, node_id: 2, sample: 43.850, missed_samples: 0, msg_ids_in_msg: [46, 48, 49], node_ids_in_msg: [4, 5, 6] , time: 190888155 #
aggregator, node_id: 3, sample: 53.736, missed_samples: 0, msg_ids_in_msg: [47, 50, 47], node_ids_in_msg: [7, 8, 9] , time: 194380328 #
aggregator, node_id: 2, sample: 45.380, missed_samples: 0, msg_ids_in_msg: [47, 49, 50], node_ids_in_msg: [4, 5, 6] , time: 195060009 #
aggregator, node_id: 2, sample: 63.162, missed_samples: 0, msg_ids_in_msg: [48, 50, 51], node_ids_in_msg: [4, 5, 6] , time: 199005337 #
aggregator, node_id: 3, sample: 52.517, missed_samples: 1, msg_ids_in_msg: [48, 51, 48], node_ids_in_msg: [7, 8, 9] , time: 199208456 #
aggregator, node_id: 2, sample: 44.645, missed_samples: 0, msg_ids_in_msg: [49, 51, 52], node_ids_in_msg: [4, 5, 6] , time: 202614696 #
aggregator, node_id: 3, sample: 22.135, missed_samples: 0, msg_ids_in_msg: [50, 52, 49], node_ids_in_msg: [7, 8, 9] , time: 203310016 #
aggregator, node_id: 2, sample: 18.482, missed_samples: 0, msg_ids_in_msg: [50, 52, 53], node_ids_in_msg: [4, 5, 6] , time: 206270992 #
aggregator, node_id: 3, sample: 65.306, missed_samples: 0, msg_ids_in_msg: [51, 53, 50], node_ids_in_msg: [7, 8, 9] , time: 207817821 #
aggregator, node_id: 2, sample: 60.307, missed_samples: 0, msg_ids_in_msg: [51, 53, 54], node_ids_in_msg: [4, 5, 6] , time: 210138158 #
aggregator, node_id: 3, sample: 26.297, missed_samples: 0, msg_ids_in_msg: [52, 54, 51], node_ids_in_msg: [7, 8, 9] , time: 210903765 #
aggregator, node_id: 2, sample: 26.385, missed_samples: 0, msg_ids_in_msg: [52, 54, 55], node_ids_in_msg: [4, 5, 6] , time: 214403771 #
aggregator, node_id: 3, sample: 88.341, missed_samples: 0, msg_ids_in_msg: [53, 55, 52], node_ids_in_msg: [7, 8, 9] , time: 215778764 #
aggregator, node_id: 2, sample: 29.178, missed_samples: 0, msg_ids_in_msg: [53, 55, 56], node_ids_in_msg: [4, 5, 6] , time: 218286589 #
aggregator, node_id: 3, sample: 84.230, missed_samples: 0, msg_ids_in_msg: [54, 56, 53], node_ids_in_msg: [7, 8, 9] , time: 219302218 #
aggregator, node_id: 2, sample: 56.105, missed_samples: 0, msg_ids_in_msg: [54, 56, 57], node_ids_in_msg: [4, 5, 6] , time: 221388156 #
aggregator, node_id: 3, sample: 39.712, missed_samples: 0, msg_ids_in_msg: [55, 57, 54], node_ids_in_msg: [7, 8, 9] , time: 224208455 #
aggregator, node_id: 2, sample: 59.843, missed_samples: 0, msg_ids_in_msg: [55, 57, 58], node_ids_in_msg: [4, 5, 6] , time: 225484274 #
aggregator, node_id: 3, sample: 52.139, missed_samples: 0, msg_ids_in_msg: [56, 58, 55], node_ids_in_msg: [7, 8, 9] , time: 228544408 #
aggregator, node_id: 2, sample: 66.039, missed_samples: 0, msg_ids_in_msg: [56, 58, 59], node_ids_in_msg: [4, 5, 6] , time: 229841169 #
aggregator, node_id: 3, sample: 51.000, missed_samples: 0, msg_ids_in_msg: [57, 59, 56], node_ids_in_msg: [7, 8, 9] , time: 233411384 #
aggregator, node_id: 2, sample: 52.814, missed_samples: 0, msg_ids_in_msg: [57, 59, 60], node_ids_in_msg: [4, 5, 6] , time: 233810007 #
aggregator, node_id: 3, sample: 36.918, missed_samples: 1, msg_ids_in_msg: [58, 60, 57], node_ids_in_msg: [7, 8, 9] , time: 237981918 #
aggregator, node_id: 2, sample: 50.554, missed_samples: 0, msg_ids_in_msg: [58, 60, 61], node_ids_in_msg: [4, 5, 6] , time: 238489719 #
aggregator, node_id: 2, sample: 59.230, missed_samples: 0, msg_ids_in_msg: [59, 61, 62], node_ids_in_msg: [4, 5, 6] , time: 241856907 #
