aggregator, node_id: 2, sample: 80.832, missed_samples: 0 , time: 373334167 #
aggregator, node_id: 3, sample: 53.981, missed_samples: 0 , time: 377935764 #
aggregator, node_id: 2, sample: 58.320, missed_samples: 0 , time: 378865416 #
aggregator, node_id: 3, sample: 15.769, missed_samples: 0 , time: 383154501 #
aggregator, node_id: 2, sample: 41.382, missed_samples: 0 , time: 383623238 #
aggregator, node_id: 3, sample: 75.091, missed_samples: 0 , time: 387459101 #
aggregator, node_id: 2, sample: 38.742, missed_samples: 0 , time: 389146686 #
aggregator, node_id: 3, sample: 18.271, missed_samples: 0 , time: 391896676 #
aggregator, node_id: 2, sample: 45.943, missed_samples: 0 , time: 394956935 #
aggregator, node_id: 3, sample: 31.975, missed_samples: 0 , time: 397201378 #
aggregator, node_id: 2, sample: 43.270, missed_samples: 0 , time: 400420110 #
aggregator, node_id: 3, sample: 68.401, missed_samples: 0 , time: 401506058 #
aggregator, node_id: 2, sample: 57.905, missed_samples: 0 , time: 404959194 #
aggregator, node_id: 3, sample: 58.900, missed_samples: 0 , time: 406062067 #
aggregator, node_id: 2, sample: 45.098, missed_samples: 0 , time: 410034849 #
aggregator, node_id: 3, sample: 62.875, missed_samples: 0 , time: 411318542 #
aggregator, node_id: 2, sample: 50.394, missed_samples: 0 , time: 415506058 #
aggregator, node_id: 3, sample: 65.932, missed_samples: 0 , time: 417092014 #
aggregator, node_id: 2, sample: 57.639, missed_samples: 1 , time: 421068559 #
aggregator, node_id: 3, sample: 52.818, missed_samples: 0 , time: 422576364 #
aggregator, node_id: 2, sample: 25.579, missed_samples: 0 , time: 425902189 #
aggregator, node_id: 3, sample: 51.900, missed_samples: 1 , time: 428475797 #
aggregator, node_id: 2, sample: 69.913, missed_samples: 1 , time: 431873265 #
aggregator, node_id: 3, sample: 60.516, missed_samples: 0 , time: 434177929 #
aggregator, node_id: 2, sample: 33.859, missed_samples: 0 , time: 437373258 #
aggregator, node_id: 3, sample: 43.401, missed_samples: 0 , time: 439224797 #
aggregator, node_id: 2, sample: 32.226, missed_samples: 0 , time: 442810758 #
